location,total_sqft,bath,balcony,bhk,price,price_per_square_foot
Electronic City Phase II,1056.0,2.0,1.0,2.0,39.07,0.03699810606060606
Uttarahalli,1440.0,2.0,3.0,3.0,62.0,0.043055555555555555
Kothanur,1200.0,2.0,1.0,2.0,51.0,0.0425
Whitefield,1170.0,2.0,1.0,2.0,38.0,0.03247863247863248
Old Airport Road,2732.0,4.0,0.0,4.0,204.0,0.0746705710102489
Rajaji Nagar,3300.0,4.0,0.0,4.0,600.0,0.18181818181818182
Marathahalli,1310.0,3.0,1.0,3.0,63.25,0.048282442748091604
Whitefield,1800.0,2.0,2.0,3.0,70.0,0.03888888888888889
Whitefield,2785.0,5.0,3.0,4.0,295.0,0.1059245960502693
7th Phase JP Nagar,1000.0,2.0,1.0,2.0,38.0,0.038
Gottigere,1100.0,2.0,2.0,2.0,40.0,0.03636363636363636
Sarjapur,2250.0,3.0,2.0,3.0,148.0,0.06577777777777778
Mysore Road,1175.0,2.0,2.0,2.0,73.5,0.0625531914893617
Bisuvanahalli,1180.0,3.0,2.0,3.0,48.0,0.04067796610169491
Raja Rajeshwari Nagar,1540.0,3.0,3.0,3.0,60.0,0.03896103896103896
Thanisandra,2800.0,5.0,2.0,4.0,380.0,0.1357142857142857
Bellandur,1767.0,3.0,1.0,3.0,103.0,0.058290888511601587
Electronic City,660.0,1.0,1.0,2.0,23.1,0.035
Whitefield,1610.0,3.0,2.0,3.0,81.0,0.05031055900621118
Ramagondanahalli,1151.0,2.0,2.0,2.0,48.77,0.04237185056472633
Electronic City,1025.0,2.0,1.0,3.0,47.0,0.045853658536585365
Yelahanka,2475.0,4.0,0.0,4.0,186.0,0.07515151515151515
Bisuvanahalli,1075.0,2.0,1.0,3.0,35.0,0.03255813953488372
Hebbal,1760.0,2.0,2.0,3.0,123.0,0.06988636363636364
Raja Rajeshwari Nagar,1693.0,3.0,3.0,3.0,57.39,0.0338984051978736
Kanakpura Road,700.0,2.0,1.0,2.0,36.0,0.05142857142857143
Electronics City Phase 1,1070.0,2.0,1.0,2.0,45.5,0.04252336448598131
Kundalahalli,1724.0,3.0,2.0,3.0,125.0,0.07250580046403712
Chikkalasandra,1290.0,2.0,2.0,3.0,56.12,0.043503875968992245
Uttarahalli,1143.0,2.0,2.0,2.0,45.0,0.03937007874015748
Sarjapur  Road,1254.0,3.0,2.0,3.0,38.0,0.030303030303030304
Yelahanka,660.0,1.0,0.0,1.0,48.0,0.07272727272727272
Kanakpura Road,1330.74,2.0,2.0,2.0,91.79,0.0689766596029277
Doddathoguru,970.0,2.0,0.0,2.0,33.0,0.03402061855670103
Whitefield,1459.0,2.0,1.0,2.0,94.82,0.06498971898560657
KR Puram,800.0,1.0,1.0,2.0,130.0,0.1625
Bhoganhalli,1670.0,3.0,1.0,3.0,99.0,0.0592814371257485
Whitefield,2010.0,3.0,2.0,3.0,91.0,0.04527363184079602
Lakshminarayana Pura,1185.0,2.0,2.0,2.0,75.0,0.06329113924050633
Yelahanka,1600.0,2.0,3.0,3.0,75.0,0.046875
Begur Road,1200.0,2.0,2.0,2.0,44.0,0.03666666666666667
Devanahalli,3210.0,4.0,0.0,4.0,192.0,0.059813084112149535
Varthur,1160.0,2.0,2.0,2.0,44.0,0.03793103448275862
Bommanahalli,3000.0,8.0,0.0,8.0,140.0,0.04666666666666667
