location,total_sqft,bath,balcony,bhk,price,price_per_square_foot
Jakkur,1291.0,2.0,1.0,2.0,75.0,0.05809450038729667
Nagarbhavi,1190.0,2.0,2.0,2.0,63.0,0.052941176470588235
Whitefield,1362.0,2.0,3.0,2.0,85.0,0.06240822320117474
Subramanyapura,975.0,2.0,1.0,2.0,63.0,0.06461538461538462
Yelahanka,1175.0,2.0,1.0,2.0,67.77,0.05767659574468085
Whitefield,1850.0,3.0,2.0,3.0,150.0,0.08108108108108109
Old Airport Road,2774.0,4.0,3.0,4.0,208.0,0.07498197548666186
Electronic City,755.0,1.0,1.0,2.0,34.0,0.045033112582781455
7th Phase JP Nagar,1100.0,3.0,1.0,2.0,60.0,0.05454545454545454
Yelahanka,1282.0,2.0,1.0,3.0,48.72,0.038003120124804994
Hennur Road,1904.0,3.0,2.0,3.0,129.0,0.06775210084033613
Whitefield,1440.0,2.0,2.0,3.0,64.0,0.044444444444444446
Sarjapur  Road,2275.0,4.0,2.0,3.0,175.0,0.07692307692307693
Bannerghatta Road,1022.0,2.0,1.0,2.0,35.0,0.03424657534246575
Kundalahalli,3092.0,4.0,3.0,4.0,230.0,0.07438551099611902
Whitefield,1301.0,2.0,2.0,2.0,65.0,0.04996156802459646
Harlur,1370.0,2.0,2.0,2.0,88.0,0.06423357664233577
Marathahalli,3090.0,4.0,0.0,4.0,350.0,0.11326860841423948
8th Phase JP Nagar,950.0,3.0,2.0,3.0,130.0,0.1368421052631579
Jalahalli,1310.0,2.0,2.0,3.0,60.0,0.04580152671755725
Sarjapur,1032.0,2.0,1.0,2.0,42.0,0.040697674418604654
Haralur Road,2750.0,4.0,0.0,4.0,220.0,0.08
Hosa Road,615.0,1.0,1.0,1.0,43.08,0.07004878048780487
Koramangala,2300.0,3.0,3.0,3.0,290.0,0.12608695652173912
Bommanahalli,1020.0,2.0,2.0,2.0,55.0,0.05392156862745098
Electronic City,1000.0,2.0,1.0,2.0,28.88,0.02888
7th Phase JP Nagar,1430.0,2.0,1.0,3.0,102.0,0.07132867132867132
Electronics City Phase 1,1175.0,2.0,1.0,2.0,50.0,0.0425531914893617
Varthur,1535.0,3.0,2.0,3.0,65.99,0.04299022801302931
Yeshwanthpur,770.0,1.0,1.0,2.0,70.0,0.09090909090909091
Harlur,1386.0,2.0,2.0,2.0,85.0,0.06132756132756133
Hoodi,1420.0,2.0,2.0,2.0,75.0,0.0528169014084507
Sarjapur  Road,1241.0,2.0,1.0,2.0,82.0,0.06607574536663981
Thigalarapalya,3122.0,6.0,2.0,4.0,237.0,0.07591287636130685
Kanakpura Road,1200.0,2.0,2.0,3.0,42.0,0.035
Uttarahalli,1315.0,2.0,2.0,3.0,74.0,0.05627376425855513
Brookefield,1270.0,2.0,1.0,2.0,95.0,0.07480314960629922
Haralur Road,1140.0,2.0,2.0,2.0,43.0,0.037719298245614034
R.T. Nagar,2400.0,3.0,0.0,3.0,348.0,0.145
7th Phase JP Nagar,1174.0,2.0,1.0,2.0,47.0,0.04003407155025554
Sarjapur  Road,1370.0,2.0,1.0,2.0,70.0,0.051094890510948905
Vidyaranyapura,1200.0,2.0,2.0,2.0,55.0,0.04583333333333333
Vidyaranyapura,600.0,3.0,2.0,4.0,78.0,0.13
Kanakpura Road,1135.0,2.0,1.0,2.0,39.73,0.03500440528634361
Whitefield,1806.0,3.0,3.0,3.0,85.0,0.04706533776301218
Sarjapur  Road,3044.0,3.0,2.0,3.0,183.0,0.06011826544021025
Brookefield,3050.0,4.0,0.0,4.0,130.0,0.04262295081967213
Nagarbhavi,800.0,3.0,0.0,3.0,95.0,0.11875
Kanakpura Road,1420.0,3.0,3.0,3.0,68.0,0.04788732394366197
Budigere,1153.0,2.0,2.0,2.0,56.55,0.04904596704249783
Basavangudi,1214.0,3.0,0.0,6.0,220.0,0.1812191103789127
Hulimavu,1916.0,2.0,1.0,3.0,150.0,0.07828810020876827
Whitefield,1520.0,2.0,2.0,3.0,150.0,0.09868421052631579
Thanisandra,2100.0,4.0,1.0,4.0,95.0,0.04523809523809524
Uttarahalli,1500.0,3.0,1.0,3.0,68.0,0.04533333333333334
Bisuvanahalli,845.0,2.0,1.0,2.0,33.0,0.03905325443786982
Yelahanka,827.5,1.0,0.0,1.0,42.535,0.05140181268882175
Bisuvanahalli,845.0,2.0,2.0,2.0,32.0,0.0378698224852071
Green Glen Layout,1750.0,3.0,2.0,3.0,105.0,0.06
Chikkalasandra,1390.0,2.0,3.0,3.0,60.47,0.04350359712230216
Hebbal Kempapura,1654.0,2.0,3.0,3.0,85.0,0.051390568319226115
Whitefield,2830.0,5.0,3.0,4.0,190.0,0.06713780918727916
Electronic City,1125.0,2.0,1.0,2.0,32.49,0.028880000000000003
Devanahalli,1600.0,3.0,2.0,3.0,180.0,0.1125
Hebbal,1344.0,2.0,1.0,2.0,108.0,0.08035714285714286
Ramamurthy Nagar,1334.0,2.0,1.0,2.0,67.0,0.05022488755622189
Raja Rajeshwari Nagar,1267.0,2.0,1.0,2.0,54.35,0.042896606156274664
Marathahalli,2524.0,5.0,2.0,4.0,180.0,0.07131537242472266
Panathur,1198.0,2.0,1.0,2.0,82.0,0.06844741235392321
Kanakpura Road,1452.0,3.0,3.0,3.0,60.0,0.04132231404958678
Electronics City Phase 1,1015.0,2.0,1.0,2.0,56.0,0.05517241379310345
Whitefield,1270.0,2.0,2.0,3.0,65.0,0.051181102362204724
Hulimavu,1315.0,2.0,0.0,2.0,60.48,0.04599239543726236
Kothanur,1787.0,3.0,2.0,3.0,107.0,0.05987688864017907
Electronic City Phase II,1025.0,2.0,1.0,2.0,29.6,0.028878048780487806
Whitefield,1585.0,3.0,2.0,3.0,88.0,0.0555205047318612
Uttarahalli,1328.0,2.0,1.0,3.0,56.0,0.04216867469879518
Banashankari,1450.0,2.0,2.0,2.0,50.75,0.035
Raja Rajeshwari Nagar,1000.0,2.0,0.0,2.0,50.0,0.05
Whitefield,2856.0,5.0,0.0,4.0,157.5,0.05514705882352941
Ramamurthy Nagar,1170.0,2.0,2.0,2.0,44.0,0.037606837606837605
Bellandur,1785.0,3.0,3.0,3.0,118.0,0.06610644257703081
Indira Nagar,1875.0,3.0,1.0,3.0,180.0,0.096
7th Phase JP Nagar,1200.0,2.0,2.0,2.0,62.5,0.052083333333333336
Anekal,1035.0,2.0,2.0,2.0,38.3,0.03700483091787439
Sarjapur  Road,1787.0,3.0,2.0,3.0,125.0,0.06994963626189143
Chandapura,1015.0,2.0,2.0,2.0,25.88,0.025497536945812808
Hegde Nagar,3750.0,6.0,2.0,4.0,375.0,0.1
Thanisandra,760.0,1.0,2.0,1.0,50.4,0.0663157894736842
Whitefield,1500.0,3.0,1.0,3.0,61.95,0.0413
Ramagondanahalli,920.0,2.0,3.0,2.0,65.0,0.07065217391304347
Devanahalli,775.0,1.0,0.0,1.0,39.0,0.05032258064516129
Ramagondanahalli,1610.0,2.0,2.0,3.0,115.0,0.07142857142857142
Whitefield,1200.0,3.0,2.0,3.0,68.5,0.05708333333333333
Panathur,1315.0,2.0,1.0,3.0,59.1,0.04494296577946768
Thanisandra,1265.0,2.0,1.0,2.0,72.0,0.05691699604743083
Electronic City,1320.0,2.0,1.0,3.0,38.13,0.028886363636363637
Hoodi,1350.0,2.0,3.0,3.0,48.0,0.035555555555555556
Kadugodi,3750.0,4.0,0.0,4.0,210.0,0.056
Hennur,1231.0,2.0,2.0,2.0,48.0,0.03899268887083672
Kaggadasapura,1485.0,2.0,2.0,3.0,70.0,0.04713804713804714
Electronic City,1500.0,2.0,1.0,3.0,75.0,0.05
KR Puram,1021.0,2.0,1.0,2.0,48.0,0.04701273261508325
Haralur Road,1650.0,3.0,3.0,3.0,100.0,0.06060606060606061
Malleshwaram,1124.0,3.0,2.0,2.0,80.0,0.0711743772241993
Anekal,1800.0,3.0,2.0,3.0,68.0,0.03777777777777778
Ramamurthy Nagar,1360.0,2.0,0.0,2.0,45.0,0.03308823529411765
Kasavanhalli,1715.0,3.0,3.0,3.0,112.0,0.0653061224489796
Sarjapur  Road,1115.0,2.0,2.0,2.0,43.0,0.03856502242152467
Hebbal,1800.0,3.0,2.0,3.0,140.0,0.07777777777777778
Harlur,1174.0,2.0,1.0,2.0,75.0,0.06388415672913117
Yelahanka,1060.0,2.0,1.0,2.0,40.0,0.03773584905660377
Bellandur,950.0,2.0,2.0,2.0,35.0,0.03684210526315789
Haralur Road,2805.0,5.0,3.0,4.0,154.0,0.054901960784313725
7th Phase JP Nagar,990.0,2.0,2.0,2.0,50.0,0.050505050505050504
7th Phase JP Nagar,1675.0,2.0,2.0,3.0,135.0,0.08059701492537313
Old Airport Road,1055.0,2.0,3.0,2.0,75.0,0.07109004739336493
Bellandur,1665.0,3.0,0.0,3.0,85.0,0.05105105105105105
7th Phase JP Nagar,1035.0,2.0,1.0,2.0,39.33,0.038
8th Phase JP Nagar,1510.0,2.0,3.0,2.0,80.0,0.052980132450331126
Whitefield,2135.0,3.0,2.0,4.0,149.0,0.06978922716627635
Yeshwanthpur,1200.0,2.0,0.0,2.0,63.0,0.0525
Marathahalli,1605.0,3.0,2.0,3.0,76.0,0.04735202492211838
R.T. Nagar,1560.0,3.0,2.0,3.0,85.0,0.05448717948717949
7th Phase JP Nagar,1680.0,3.0,3.0,3.0,130.0,0.07738095238095238
Rajaji Nagar,1640.0,3.0,2.0,3.0,241.0,0.1469512195121951
Mahadevpura,1212.0,2.0,1.0,2.0,56.9,0.046947194719471945
Whitefield,3940.0,5.0,3.0,4.0,265.0,0.06725888324873096
Harlur,1755.0,3.0,2.0,3.0,115.0,0.06552706552706553
Chandapura,778.0,2.0,0.0,2.0,25.29,0.03250642673521851
Kasavanhalli,1260.0,2.0,3.0,3.0,40.32,0.032
Kengeri,2894.0,4.0,1.0,4.0,245.0,0.08465791292328956
Lakshminarayana Pura,1169.0,2.0,2.0,2.0,75.0,0.0641573994867408
Hebbal Kempapura,3522.0,3.0,2.0,3.0,380.0,0.10789324247586599
Basavangudi,1230.0,2.0,0.0,2.0,80.0,0.06504065040650407
Bhoganhalli,2119.0,4.0,3.0,4.0,111.0,0.052383199622463426
Yeshwanthpur,650.0,1.0,0.0,1.0,40.0,0.06153846153846154
Bommasandra,1127.0,2.0,1.0,2.0,45.0,0.03992901508429459
Electronic City,1400.0,2.0,1.0,3.0,40.44,0.028885714285714285
Whitefield,1200.0,2.0,1.0,2.0,45.84,0.038200000000000005
Old Madras Road,1065.0,2.0,1.0,2.0,47.86,0.04493896713615023
Hoodi,1400.0,2.0,1.0,2.0,78.0,0.055714285714285716
BTM 2nd Stage,930.0,2.0,2.0,2.0,46.0,0.04946236559139785
7th Phase JP Nagar,1075.0,2.0,1.0,2.0,42.99,0.03999069767441861
Yelahanka,682.0,1.0,1.0,1.0,36.23,0.05312316715542521
Yelahanka,1430.0,3.0,1.0,3.0,61.0,0.04265734265734266
Chandapura,937.0,2.0,1.0,2.0,30.0,0.032017075773746
Hoodi,1108.0,2.0,0.0,2.0,66.46,0.05998194945848375
7th Phase JP Nagar,1050.0,2.0,1.0,2.0,77.0,0.07333333333333333
Bannerghatta Road,2835.0,5.0,0.0,4.0,260.0,0.09171075837742504
Tumkur Road,1027.0,2.0,1.0,2.0,67.0,0.06523855890944498
Haralur Road,2650.0,4.0,2.0,4.0,198.0,0.07471698113207548
Hosakerehalli,1795.0,3.0,2.0,3.0,64.62,0.036000000000000004
Harlur,2240.0,5.0,2.0,3.0,155.0,0.06919642857142858
Hosur Road,1890.0,3.0,2.0,3.0,162.0,0.08571428571428572
Bannerghatta Road,1556.0,2.0,1.0,3.0,59.13,0.0380012853470437
Kanakpura Road,1452.0,3.0,3.0,3.0,54.2,0.03732782369146006
5th Phase JP Nagar,1256.0,2.0,1.0,2.0,62.8,0.049999999999999996
Marathahalli,1535.0,3.0,2.0,3.0,72.5,0.04723127035830619
Begur Road,1241.0,2.0,1.0,2.0,64.0,0.0515713134568896
Kudlu,1027.0,2.0,2.0,2.0,43.0,0.04186952288218111
Jakkur,1483.0,2.0,1.0,2.0,98.0,0.06608226567768037
Jalahalli,1045.0,2.0,1.0,2.0,58.0,0.05550239234449761
Hoodi,1530.0,2.0,2.0,3.0,67.0,0.04379084967320261
Panathur,1695.0,3.0,1.0,3.0,90.0,0.05309734513274336
Bommasandra,1260.0,3.0,1.0,3.0,49.36,0.039174603174603174
Varthur,1105.0,2.0,3.0,2.0,38.0,0.034389140271493215
JP Nagar,1315.0,2.0,1.0,3.0,85.4,0.06494296577946769
KR Puram,1462.5,3.0,0.0,3.0,62.81,0.04294700854700855
Sarjapur  Road,685.0,1.0,1.0,1.0,40.0,0.058394160583941604
Hennur,2264.0,3.0,0.0,3.0,155.0,0.06846289752650177
Whitefield,1453.0,2.0,2.0,3.0,58.0,0.03991741225051618
Banashankari,1600.0,2.0,1.0,2.0,63.98,0.039987499999999995
Sarjapur  Road,2425.0,5.0,1.0,4.0,175.0,0.07216494845360824
Rajaji Nagar,2390.0,3.0,2.0,3.0,415.0,0.17364016736401675
Begur Road,1615.0,3.0,2.0,3.0,50.87,0.0314984520123839
Hoodi,1575.0,3.0,2.0,3.0,66.39,0.042152380952380955
Bhoganhalli,2439.0,5.0,2.0,4.0,170.0,0.06970069700697007
Basavangudi,1825.0,3.0,0.0,3.0,175.0,0.0958904109589041
Malleshwaram,580.0,1.0,1.0,1.0,45.0,0.07758620689655173
Hulimavu,1175.0,2.0,0.0,2.0,45.0,0.03829787234042553
Marathahalli,1583.0,3.0,3.0,3.0,109.0,0.06885660138976626
Yelahanka,600.0,2.0,2.0,2.0,27.0,0.045
Whitefield,1100.0,2.0,2.0,2.0,65.0,0.05909090909090909
Sahakara Nagar,1000.0,2.0,1.0,2.0,60.0,0.06
