location,total_sqft,bath,balcony,price,bhk
Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0
Chikka Tirupathi,2600.0,5.0,3.0,120.0,4.0
Uttarahalli,1440.0,2.0,3.0,62.0,3.0
Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0
Kothanur,1200.0,2.0,1.0,51.0,2.0
Whitefield,1170.0,2.0,1.0,38.0,2.0
Old Airport Road,2732.0,4.0,0.0,204.0,4.0
Rajaji Nagar,3300.0,4.0,0.0,600.0,4.0
Marathahalli,1310.0,3.0,1.0,63.25,3.0
Whitefield,1800.0,2.0,2.0,70.0,3.0
Whitefield,2785.0,5.0,3.0,295.0,4.0
7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0
Gottigere,1100.0,2.0,2.0,40.0,2.0
Sarjapur,2250.0,3.0,2.0,148.0,3.0
Mysore Road,1175.0,2.0,2.0,73.5,2.0
Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0
Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3.0
Ramakrishnappa Layout,2770.0,4.0,2.0,290.0,3.0
Manayata Tech Park,1100.0,2.0,2.0,48.0,2.0
Binny Pete,1755.0,3.0,1.0,122.0,3.0
Thanisandra,2800.0,5.0,2.0,380.0,4.0
Bellandur,1767.0,3.0,1.0,103.0,3.0
 Thanisandra,510.0,1.0,0.0,25.25,1.0
Mangammanapalya,1250.0,3.0,2.0,56.0,3.0
Electronic City,660.0,1.0,1.0,23.1,2.0
Whitefield,1610.0,3.0,2.0,81.0,3.0
Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0
Electronic City,1025.0,2.0,1.0,47.0,3.0
Yelahanka,2475.0,4.0,0.0,186.0,4.0
Bisuvanahalli,1075.0,2.0,1.0,35.0,3.0
Hebbal,1760.0,2.0,2.0,123.0,3.0
Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0
Kasturi Nagar,1925.0,3.0,0.0,125.0,3.0
Kanakpura Road,700.0,2.0,1.0,36.0,2.0
Electronics City Phase 1,1070.0,2.0,1.0,45.5,2.0
Kundalahalli,1724.0,3.0,2.0,125.0,3.0
Chikkalasandra,1290.0,2.0,2.0,56.12,3.0
Uttarahalli,1143.0,2.0,2.0,45.0,2.0
Murugeshpalya,1296.0,2.0,0.0,81.0,2.0
Sarjapur  Road,1254.0,3.0,2.0,38.0,3.0
Ganga Nagar,600.0,1.0,0.0,38.0,1.0
Yelahanka,660.0,1.0,0.0,48.0,1.0
Kanakpura Road,1330.74,2.0,2.0,91.79,2.0
Doddathoguru,970.0,2.0,0.0,33.0,2.0
Whitefield,1459.0,2.0,1.0,94.82,2.0
KR Puram,800.0,1.0,1.0,130.0,2.0
Himagiri Meadows,869.0,2.0,1.0,36.0,2.0
Adarsh Nagar,1270.0,2.0,1.0,50.0,2.0
Bhoganhalli,1670.0,3.0,1.0,99.0,3.0
Whitefield,2010.0,3.0,2.0,91.0,3.0
Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2.0
Yelahanka,1600.0,2.0,3.0,75.0,3.0
Begur Road,1200.0,2.0,2.0,44.0,2.0
Devanahalli,3210.0,4.0,0.0,192.0,4.0
Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,2.0
Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2.0
Ganga Nagar,845.0,2.0,1.0,55.0,2.0
Varthur,1160.0,2.0,2.0,44.0,2.0
Bommanahalli,3000.0,8.0,0.0,140.0,8.0
Doddathoguru,1100.0,2.0,1.0,62.0,2.0
Gunjur,1140.0,2.0,3.0,43.0,2.0
Marathahalli,1220.0,2.0,1.0,57.0,2.0
