location,total_sqft,bath,balcony,bhk,price
Electronic City Phase II,1056.0,2.0,1.0,2.0,39.07
Uttarahalli,1440.0,2.0,3.0,3.0,62.0
Kothanur,1200.0,2.0,1.0,2.0,51.0
Whitefield,1170.0,2.0,1.0,2.0,38.0
Old Airport Road,2732.0,4.0,0.0,4.0,204.0
Rajaji Nagar,3300.0,4.0,0.0,4.0,600.0
Marathahalli,1310.0,3.0,1.0,3.0,63.25
Whitefield,1800.0,2.0,2.0,3.0,70.0
Whitefield,2785.0,5.0,3.0,4.0,295.0
7th Phase JP Nagar,1000.0,2.0,1.0,2.0,38.0
Gottigere,1100.0,2.0,2.0,2.0,40.0
Sarjapur,2250.0,3.0,2.0,3.0,148.0
Mysore Road,1175.0,2.0,2.0,2.0,73.5
Bisuvanahalli,1180.0,3.0,2.0,3.0,48.0
Raja Rajeshwari Nagar,1540.0,3.0,3.0,3.0,60.0
Thanisandra,2800.0,5.0,2.0,4.0,380.0
Bellandur,1767.0,3.0,1.0,3.0,103.0
Electronic City,660.0,1.0,1.0,2.0,23.1
Whitefield,1610.0,3.0,2.0,3.0,81.0
Ramagondanahalli,1151.0,2.0,2.0,2.0,48.77
Electronic City,1025.0,2.0,1.0,3.0,47.0
Yelahanka,2475.0,4.0,0.0,4.0,186.0
Bisuvanahalli,1075.0,2.0,1.0,3.0,35.0
Hebbal,1760.0,2.0,2.0,3.0,123.0
Raja Rajeshwari Nagar,1693.0,3.0,3.0,3.0,57.39
Kanakpura Road,700.0,2.0,1.0,2.0,36.0
Electronics City Phase 1,1070.0,2.0,1.0,2.0,45.5
Kundalahalli,1724.0,3.0,2.0,3.0,125.0
Chikkalasandra,1290.0,2.0,2.0,3.0,56.12
Uttarahalli,1143.0,2.0,2.0,2.0,45.0
Sarjapur  Road,1254.0,3.0,2.0,3.0,38.0
Yelahanka,660.0,1.0,0.0,1.0,48.0
Kanakpura Road,1330.74,2.0,2.0,2.0,91.79
Doddathoguru,970.0,2.0,0.0,2.0,33.0
Whitefield,1459.0,2.0,1.0,2.0,94.82
KR Puram,800.0,1.0,1.0,2.0,130.0
Bhoganhalli,1670.0,3.0,1.0,3.0,99.0
Whitefield,2010.0,3.0,2.0,3.0,91.0
Lakshminarayana Pura,1185.0,2.0,2.0,2.0,75.0
Yelahanka,1600.0,2.0,3.0,3.0,75.0
Begur Road,1200.0,2.0,2.0,2.0,44.0
Devanahalli,3210.0,4.0,0.0,4.0,192.0
Varthur,1160.0,2.0,2.0,2.0,44.0
Bommanahalli,3000.0,8.0,0.0,8.0,140.0
Doddathoguru,1100.0,2.0,1.0,2.0,62.0
Marathahalli,1220.0,2.0,1.0,2.0,57.0
Kanakpura Road,1005.0,2.0,1.0,2.0,36.68
Begur Road,1358.0,2.0,1.0,2.0,80.58
Hegde Nagar,1569.0,3.0,1.0,3.0,101.0
Haralur Road,1240.0,2.0,1.0,2.0,70.0
Hennur Road,2089.0,3.0,2.0,3.0,140.0
Kalena Agrahara,1150.0,2.0,3.0,2.0,40.0
Hennur Road,3203.5,4.0,0.0,4.0,224.5
Yelahanka,1326.0,2.0,2.0,2.0,78.0
Hegde Nagar,3000.0,7.0,2.0,6.0,210.0
Kanakpura Road,1665.0,3.0,2.0,3.0,88.0
Kasavanhalli,1060.0,2.0,2.0,2.0,58.06
Electronic City,1000.0,2.0,1.0,2.0,28.88
Thanisandra,1296.0,2.0,3.0,2.0,80.0
Kengeri,2894.0,4.0,1.0,4.0,245.0
Yeshwanthpur,2502.0,3.0,3.0,3.0,138.0
Chandapura,650.0,1.0,1.0,2.0,17.0
Kothanur,2400.0,2.0,1.0,3.0,150.0
Nagarbhavi,1630.0,2.0,1.0,3.0,98.0
Rajaji Nagar,1640.0,3.0,2.0,3.0,229.0
Devanahalli,1260.0,2.0,2.0,2.0,66.78
Whitefield,1116.0,2.0,1.0,2.0,51.91
Electronic City,1530.0,2.0,1.0,3.0,45.9
Ramamurthy Nagar,3700.0,4.0,1.0,4.0,225.0
Sarjapur  Road,2497.0,3.0,2.0,3.0,140.0
Kengeri,1540.0,2.0,3.0,3.0,64.0
Thanisandra,1436.0,3.0,1.0,3.0,74.75
Malleshwaram,1100.0,2.0,2.0,2.0,75.0
Thanisandra,1427.0,3.0,2.0,3.0,120.0
Akshaya Nagar,2061.0,3.0,1.0,3.0,200.0
Devanahalli,1282.0,2.0,2.0,3.0,68.52
Kadugodi,1050.0,2.0,1.0,2.0,34.0
Hormavu,1500.0,2.0,1.0,2.0,78.0
Sarjapur,1600.0,3.0,1.0,3.0,75.0
Kudlu Gate,1535.0,3.0,2.0,3.0,83.0
Kanakpura Road,950.0,2.0,1.0,2.0,57.0
Devanahalli,1360.0,2.0,1.0,2.0,65.0
8th Phase JP Nagar,1073.5,2.0,0.0,2.0,54.005
Yelahanka,3050.0,5.0,1.0,5.0,213.0
Kasavanhalli,1563.05,3.0,1.0,3.0,105.0
Kothanur,1828.0,3.0,0.0,3.0,110.0
Kengeri Satellite Town,890.0,2.0,1.0,2.0,35.0
Hulimavu,1125.0,2.0,2.0,2.0,50.0
Electronic City Phase II,1020.0,2.0,1.0,2.0,30.6
Kalena Agrahara,1200.0,2.0,2.0,2.0,50.0
Thanisandra,1735.0,3.0,3.0,3.0,135.0
Thanisandra,2050.0,3.0,1.0,3.0,145.0
Hosa Road,1063.0,2.0,1.0,2.0,32.0
Sarjapur,1242.5,2.0,0.0,2.0,43.49
Electronic City,1500.0,2.0,1.0,3.0,64.5
Electronic City,1060.0,2.0,1.0,2.0,60.0
Electronic City,1152.0,2.0,1.0,2.0,64.5
Electronic City,1350.0,2.0,1.0,3.0,56.0
CV Raman Nagar,1550.0,3.0,3.0,3.0,65.0
Malleshwaram,705.0,1.0,2.0,1.0,67.0
Electronic City,770.0,1.0,1.0,2.0,36.0
Hulimavu,1242.0,2.0,3.0,2.0,51.0
Hebbal Kempapura,1700.0,3.0,2.0,3.0,155.0
Thanisandra,2144.0,3.0,2.0,3.0,145.0
Vijayanagar,1704.0,3.0,2.0,3.0,110.0
Electronic City,1070.0,2.0,1.0,2.0,52.0
Electronic City,1025.0,2.0,1.0,2.0,46.0
KR Puram,1277.5,2.0,0.0,2.0,56.8
Marathahalli,1200.0,2.0,2.0,2.0,52.0
