total_sqft,bath,balcony,price,bhk,price_per_sqft,availability_binary,location_encoded
1056.0,2.0,1.0,39.07,2.0,3699.81,0,45.86169179875348
2600.0,5.0,3.0,120.0,4.0,4615.38,1,110.67087106528662
1440.0,2.0,3.0,62.0,3.0,4305.56,1,55.1206475013358
1521.0,3.0,1.0,95.0,3.0,6245.89,1,112.67026200961783
1200.0,2.0,1.0,51.0,2.0,4250.0,1,83.61849274581364
1170.0,2.0,1.0,38.0,2.0,3247.86,1,95.69101734328692
2732.0,4.0,0.0,204.0,4.0,7467.06,0,176.45545972890125
3300.0,4.0,0.0,600.0,4.0,18181.82,1,263.4245377685154
1310.0,3.0,1.0,63.25,3.0,4828.24,1,93.08016189171002
1800.0,2.0,2.0,70.0,3.0,3888.89,0,95.69101734328692
2785.0,5.0,3.0,295.0,4.0,10592.46,1,95.69101734328692
1000.0,2.0,1.0,38.0,2.0,3800.0,1,94.17701069131341
1100.0,2.0,2.0,40.0,2.0,3636.36,1,61.56278673960093
2250.0,3.0,2.0,148.0,3.0,6577.78,1,88.1052149381876
1175.0,2.0,2.0,73.5,2.0,6255.32,1,65.64701146334261
1180.0,3.0,2.0,48.0,3.0,4067.8,1,44.55049167111935
1540.0,3.0,3.0,60.0,3.0,3896.1,1,59.404509119061444
2770.0,4.0,2.0,290.0,3.0,10469.31,1,199.71831878005568
1100.0,2.0,2.0,48.0,2.0,4363.64,1,82.39554585337045
1755.0,3.0,1.0,122.0,3.0,6951.57,0,142.99402292668526
2800.0,5.0,2.0,380.0,4.0,13571.43,1,80.00016172672764
1767.0,3.0,1.0,103.0,3.0,5829.09,1,86.93027656500465
510.0,1.0,0.0,25.25,1.0,4950.98,0,80.00016172672764
1250.0,3.0,2.0,56.0,3.0,4480.0,0,72.20775837340757
660.0,1.0,1.0,23.1,2.0,3500.0,1,53.808698781325596
1610.0,3.0,2.0,81.0,3.0,5031.06,0,95.69101734328692
1151.0,2.0,2.0,48.77,2.0,4237.19,0,83.55954020079305
1025.0,2.0,1.0,47.0,3.0,4585.37,1,53.808698781325596
2475.0,4.0,0.0,186.0,4.0,7515.15,0,75.87632096081032
1075.0,2.0,1.0,35.0,3.0,3255.81,1,44.55049167111935
1760.0,2.0,2.0,123.0,3.0,6988.64,1,134.88880586568177
1693.0,3.0,3.0,57.39,3.0,3389.84,1,59.404509119061444
1925.0,3.0,0.0,125.0,3.0,6493.51,1,95.60273824943796
700.0,2.0,1.0,36.0,2.0,5142.86,0,70.37033170376974
